task id,run #,model 2
2073,7,0.7248322147651006
168784,5,0.8307692307692308
190146,0,0.8705882352941177
190146,2,0.8705882352941177
359954,3,0.6756756756756757
359959,3,0.6081081081081081
2073,5,0.6845637583892618
359954,8,0.6621621621621622
2073,9,0.7181208053691275
190146,6,0.8823529411764706
168784,4,0.8256410256410256
168784,0,0.841025641025641
2073,6,0.7248322147651006
359954,5,0.6756756756756757
359959,5,0.6081081081081081
168784,7,0.8358974358974359
168784,1,0.8512820512820513
2073,0,0.7181208053691275
359954,9,0.6756756756756757
190146,7,0.8588235294117647
168784,6,0.8256410256410256
168784,9,0.8205128205128205
190146,4,0.8705882352941177
190146,5,0.8705882352941177
190146,1,0.8588235294117647
359954,4,0.6351351351351351
359954,6,0.6756756756756757
359959,6,0.5945945945945946
359959,0,0.5945945945945946
190146,9,0.8823529411764706
359954,2,0.6891891891891891
359959,9,0.6148648648648649
2073,2,0.7181208053691275
359954,0,0.6891891891891891
2073,4,0.7181208053691275
359954,7,0.7027027027027027
359959,7,0.5945945945945946
2073,1,0.6912751677852349
168784,8,0.841025641025641
359959,8,0.5202702702702703
168784,2,0.8358974358974359
359959,4,0.5540540540540541
359954,1,0.6486486486486487
359959,2,0.5067567567567568
2073,8,0.697986577181208
2073,3,0.7046979865771812
359959,1,0.6013513513513513
190146,8,0.8705882352941177
168784,3,0.841025641025641
190146,3,0.8705882352941177
