task id,run #,individual,ensemble
allbp,13,0.5101877500769468,0.5208371806709757
hypothyroid,14,0.6491708126036484,0.9958540630182422
hypothyroid,19,0.7491708126036485,0.914179104477612
allhyper,8,0.8583545918367347,0.5930697278911565
allrep,10,0.811472602739726,0.8357876712328768
allhyper,13,0.4208545918367347,0.5774447278911565
allrep,9,0.8007583170254403,0.811472602739726
allrep,0,0.867722602739726,0.7493150684931507
allbp,2,0.5532471529701447,0.4879655278547245
allbp,8,0.4333333333333333,0.4986149584487534
allrep,18,0.867722602739726,0.8614726027397259
dis,2,0.5416666666666666,0.7493270524899058
hypothyroid,17,0.7975124378109453,0.9483416252072968
allrep,13,0.8927226027397259,0.8055650684931507
allrep,1,0.867722602739726,0.8923801369863014
dis,17,0.9032077164647824,0.7076603858232391
allbp,15,0.5532471529701447,0.5208371806709757
allhyper,20,0.8271045918367347,0.8583545918367347
allhyper,12,0.5771045918367347,0.5771045918367347
allbp,11,0.5532471529701447,0.6527854724530625
dis,16,0.9072454015253476,0.7076603858232391
hypothyroid,11,0.7975124378109453,0.9125207296849088
hypothyroid,0,0.8958540630182421,0.8966832504145937
dis,14,0.911283086585913,0.625
hypothyroid,18,0.7316749585406301,0.9633499170812604
hypothyroid,15,0.8475124378109453,0.9308457711442786
allhyper,11,0.8413690476190476,0.576764455782313
allbp,19,0.5537088334872268,0.5310249307479223
allhyper,6,0.4364795918367347,0.5302295918367347
allbp,17,0.5541705140043091,0.5537088334872268
allrep,6,0.8055650684931507,0.8861301369863013
allhyper,0,0.7021045918367347,0.6708545918367347
allrep,7,0.867722602739726,0.8059075342465754
dis,7,0.5,0.7486541049798116
dis,8,0.8306415432929565,0.6243270524899058
allhyper,19,0.8389880952380953,0.561139455782313
allbp,9,0.4990766389658356,0.5212988611880579
hypothyroid,10,0.7966832504145938,0.8983416252072969
allbp,6,0.5537088334872268,0.6986149584487534
hypothyroid,9,0.8975124378109454,0.8816749585406303
allhyper,7,0.4052295918367347,0.8583545918367347
allhyper,9,0.545514455782313,0.7021045918367347
allbp,3,0.5745460141582025,0.6527854724530625
dis,10,0.6666666666666666,0.625
allhyper,5,0.8583545918367347,0.7021045918367347
dis,9,0.8723082099596231,0.6653207716464782
allbp,0,0.4884272083718067,0.4986149584487534
allrep,12,0.8670376712328768,0.8673801369863013
allbp,10,0.5532471529701447,0.5212988611880579
allhyper,18,0.839328231292517,0.6708545918367347
allrep,8,0.836472602739726,0.8861301369863013
hypothyroid,20,0.8308457711442786,0.9475124378109452
allbp,1,0.4666666666666666,0.4995383194829179
allrep,4,0.867722602739726,0.7729452054794521
allrep,3,0.8570083170254403,0.867722602739726
hypothyroid,3,0.5816749585406302,0.9633499170812604
allhyper,1,0.8576743197278911,0.5458545918367347
allbp,12,0.5421360418590335,0.532409972299169
hypothyroid,6,0.8308457711442786,0.9308457711442786
dis,15,0.7849371915657246,0.7076603858232391
allrep,2,0.3776785714285714,0.6923801369863013
dis,13,0.625,0.6243270524899058
hypothyroid,12,0.5166666666666667,0.9475124378109452
hypothyroid,2,0.6825041459369817,0.8966832504145937
dis,6,0.8669246298788694,0.6243270524899058
allbp,14,0.5537088334872268,0.5319482917820868
allbp,18,0.4995383194829179,0.4773160972606955
allrep,20,0.7820083170254403,0.836472602739726
allrep,15,0.773972602739726,0.8611301369863014
hypothyroid,16,0.9233830845771144,0.9450248756218906
allbp,20,0.9254847645429364,0.5101877500769468
allhyper,10,0.839328231292517,0.8420493197278911
dis,5,0.625,0.7069874383131449
dis,1,0.5,0.7909937191565725
dis,12,0.6243270524899058,0.625
allrep,5,0.769850782778865,0.7677226027397259
allhyper,14,0.8583545918367347,0.5614795918367347
hypothyroid,8,0.55,0.9475124378109452
hypothyroid,7,0.880016583747927,0.8308457711442786
allhyper,4,0.5458545918367347,0.7951743197278911
dis,4,0.8245850157021086,0.7493270524899058
allrep,19,0.8614726027397259,0.8361301369863013
dis,3,0.5833333333333334,0.8326603858232391
allrep,16,0.780222602739726,0.867722602739726
allhyper,15,0.5614795918367347,0.5461947278911565
hypothyroid,4,0.9475124378109452,0.9575456053067992
dis,11,0.7909937191565725,0.625
dis,0,0.7083333333333334,0.8319874383131449
dis,20,0.8723082099596231,0.7493270524899058
hypothyroid,13,0.8466832504145937,0.8975124378109454
hypothyroid,1,0.7975124378109453,0.964179104477612
allhyper,17,0.8583545918367347,0.561139455782313
dis,19,0.6243270524899058,0.7069874383131449
allbp,4,0.8240997229916897,0.5314866112650046
allrep,14,0.867722602739726,0.9170376712328768
allbp,5,0.6527854724530625,0.5314866112650046
allrep,17,0.8670376712328768,0.8923801369863014
allbp,7,0.5750076946752847,0.5212988611880579
allrep,11,0.3883928571428571,0.8041952054794521
allbp,16,0.5532471529701447,0.4990766389658356
allhyper,16,0.842389455782313,0.6708545918367347
dis,18,0.6666666666666666,0.5833333333333334
allhyper,3,0.514264455782313,0.4052295918367347
allhyper,2,0.8427295918367347,0.6243197278911565
